"","gameType","productName","releaseDate","lowestPrice","ebayPrice"
"https://www.psprices.com/region-us/game/112297/flame-over","PS4","Flame Over","2015","11.99",0
"https://www.psprices.com/region-us/game/53349/disney-infinity-2-0-edition","PS4","Disney Infinity (2.0 Edition)","2014","14.99",0
"https://www.psprices.com/region-us/game/2977917/the-lost-legends-of-redwall-the-scout","PS4","The Lost Legends Of Redwall: The Scout","2019","14.99",0
"https://www.psprices.com/region-us/game/2435167/detective-gallo","PS4","Detective Gallo","2018","5.99",0
"https://www.psprices.com/region-us/game/2173533/happy-drummer","PS4","Happy Drummer","2018","9.99",0
"https://www.psprices.com/region-us/game/1360260/deliriant","PS4","Deliriant","2017","0.99",0
"https://www.psprices.com/region-us/game/1344354/super-rude-bear-resurrection","PS4","Super Rude Bear Resurrection","2017","14.99",0
"https://www.psprices.com/region-us/game/2351060/kabounce","PS4","Kabounce","2018","8.69",0
"https://www.psprices.com/region-us/game/2145362/feral-fury","PS4","Feral Fury","2018","9.99",0
"https://www.psprices.com/region-us/game/2273961/the-council-episode-1-the-mad-ones","PS4","The Council — Episode 1: The Mad Ones","2018","0.00",0
"https://www.psprices.com/region-us/game/2318258/dragooned","PS4","Dragooned","2018","0.49",0
"https://www.psprices.com/region-us/game/1348886/blade-bones","PS4","Blade & Bones","2017","3.74",0
"https://www.psprices.com/region-us/game/864967/big-city-stories","PS4","Big City Stories","2016","0.00",0
"https://www.psprices.com/region-us/game/4099888/rocket-arena","PS4","Rocket Arena","2020","4.99",4.62693548387097
"https://www.psprices.com/region-us/game/4237544/pacer","PS4","Pacer","2020","39.99",11.5905555555556
"https://www.psprices.com/region-us/game/2960136/bring-them-home","PS4","Bring Them Home","2019","5.99",0
"https://www.psprices.com/region-us/game/4967647/find-me","PS4","Find Me","2021","4.99",15.9952459016393
"https://www.psprices.com/region-us/game/4303653/ah-maze-ing","Nintendo","Ah-Maze-Ing","2018","0.00",0
"https://www.psprices.com/region-us/game/4303776/san-guo-zhan-wu-shuang-re-xie-qia-pai-ce-lue-shou-you-xi","Nintendo","三国战无双-热血卡牌策略手游戏","2018","0.99",0
"https://www.psprices.com/region-us/game/1835217/red-game-without-a-great-name","Nintendo","Red Game Without A Great Name","2017","0.28",0
"https://www.psprices.com/region-us/game/1814701/rock-n-racing-off-road-dx","Nintendo","Rock 'N Racing Off Road DX","2017","1.99",0
"https://www.psprices.com/region-us/game/1816138/transcripted","Nintendo","Transcripted","2017","0.99",0
"https://www.psprices.com/region-us/game/1810550/super-putty-squad","Nintendo","Super Putty Squad","2017","14.99",14.1507692307692
"https://www.psprices.com/region-us/game/1530527/aca-neogeo-samurai-shodown","Nintendo","Aca Neogeo Samurai Shodown","2017","3.99",0
"https://www.psprices.com/region-us/game/1530530/boost-beast","Nintendo","Boost Beast","2017","6.99",0
"https://www.psprices.com/region-us/game/1728253/league-of-evil","Nintendo","League Of Evil","2017","3.19",0
"https://www.psprices.com/region-us/game/1727102/forma-8","Nintendo","Forma.8","2017","3.99",0
"https://www.psprices.com/region-us/game/1769445/aca-neogeo-burning-fight","Nintendo","Aca Neogeo Burning Fight","2017","7.99",0
"https://www.psprices.com/region-us/game/2117952/nightmare-boy","Nintendo","Nightmare Boy","2018","3.49",0
"https://www.psprices.com/region-us/game/2137462/aca-neogeo-power-spikes-ii","Nintendo","Aca Neogeo Power Spikes II","2018","7.99",0
"https://www.psprices.com/region-us/game/2608979/aca-neogeo-super-sidekicks-3-the-next-glory","Nintendo","Aca Neogeo Super Sidekicks 3: The Next Glory","2018","7.99",0
"https://www.psprices.com/region-us/game/2609064/calculation-castle-greco-s-ghostly-challenge-subtraction","Nintendo","Calculation Castle: Greco's Ghostly Challenge ""Subtraction""","2018","4.99",0
"https://www.psprices.com/region-us/game/2609181/bingo-for-nintendo-switch","Nintendo","Bingo For Nintendo Switch","2018","2.49",0
"https://www.psprices.com/region-us/game/2698417/inops","Nintendo","Inops","2019","9.99",0
"https://www.psprices.com/region-us/game/2740116/r-b-i-baseball-19","Nintendo","R.B.I. Baseball 19","2019","5.99",0
"https://www.psprices.com/region-us/game/2770187/my-jurassic-farm-2018","Nintendo","My Jurassic Farm 2018","2019","9.99",0
"https://www.psprices.com/region-us/game/2808157/beyond-enemy-lines-covert-operations","Nintendo","Beyond Enemy Lines: Covert Operations","2019","13.99",0
"https://www.psprices.com/region-us/game/2808158/dayd-through-time","Nintendo","Dayd: Through Time","2019","9.99",0
"https://www.psprices.com/region-us/game/2806293/active-soccer-2019","Nintendo","Active Soccer 2019","2019","11.99",0
"https://www.psprices.com/region-us/game/2742218/daemon-x-machina-prototype-missions","Nintendo","Daemon X Machina: Prototype Missions","2019","0.00",0
"https://www.psprices.com/region-us/game/3461439/fifa-18","Nintendo","FIFA 18","2017","19.99",0
"https://www.psprices.com/region-us/game/2608271/mad-age-this-guy","Nintendo","Mad Age & This Guy","2019","0.04",0
"https://www.psprices.com/region-us/game/4303802/casino-slots-mega-game","Nintendo","Casino Slots-Mega Game","2020","0.00",0
"https://www.psprices.com/region-us/game/5293068/roller-champions","Nintendo","Roller Champions","","0.00",0
"https://www.psprices.com/region-us/game/1526187/levels-addictive-puzzle-game","Nintendo","Levels+: Addictive Puzzle Game","2017","6.99",0
"https://www.psprices.com/region-us/game/2608918/galak-z-variant-s","Nintendo","Galak-Z: Variant S","2018","0.00",0
"https://www.psprices.com/region-us/game/2748239/trials-rising-open-beta","Nintendo","Trials Rising Open Beta","2019","0.00",0
"https://www.psprices.com/region-us/game/5337193/mini-subway-logic-on-the-metro-line","Nintendo","Mini Subway: Logic On The Metro Line","","3.99",0
"https://www.psprices.com/region-us/game/5401463/irresistible-mistakes","Nintendo","Irresistible Mistakes","","29.99",0
"https://www.psprices.com/region-us/game/5401443/cat-slide-tiles","Nintendo","Cat Slide Tiles","","3.99",0
"https://www.psprices.com/region-us/game/5108752/guacamelee-one-two-punch-collection","Nintendo","Guacamelee! One-Two Punch Collection","","0.00",22.352380952381
"https://www.psprices.com/region-us/game/5411341/punchman-online","Nintendo","Punchman Online","","0.00",0
"https://www.psprices.com/region-us/game/5411680/puppy-balloon-ride","Nintendo","Puppy Balloon Ride","","4.99",0
